Name_En,Scientific_Name
Flathead grey mullet,Mugil cephalus
Gilthead seabream,Sparus aurata
Atlantic bluefin tuna,Thunnus thynnus
European seabass,Dicentrarchus labrax
Red porgy,Pagrus pagrus
Common pandora,Pagellus erythrinus
European flounder,Platichthys flesus
Yellowfin tuna,Thunnus albacares
White trevally,Pseudocaranx dentex
Tiger pufferfish,Takifugu rubripes
Sea trout,Salmo trutta
Greater amberjack,Seriola dumerili
Japanese seabream,Pagrus major
Sockeye(=Red) salmon,Oncorhynchus nerka
Cobia,Rachycentron canadum
Silver seabream,Pagrus auratus
Japanese amberjack,Seriola quinqueradiata
Japanese jack mackerel,Trachurus japonicus
Southern bluefin tuna,Thunnus maccoyii
Striped bass,Morone saxatilis
Black grouper,Mycteroperca bonaci
Pacific chub mackerel,Scomber japonicus
Pacific bluefin tuna,Thunnus orientalis
Black seabass,Centropristis striata
Bluefish,Pomatomus saltatrix
Striped marlin,Tetrapturus audax
Longfin squid,Loligo pealeii
Northern shortfin squid,Illex illecebrosus
Blue marlin,Makaira nigricans
Atlantic cod,Gadus morhua
Atlantic halibut,Hippoglossus hippoglossus
Pollack,Pollachius pollachius
Blackspot(=red) seabream,Pagellus bogaraveo
Haddock,Melanogrammus aeglefinus
Scalloped hammerhead,Sphyrna lewini
Tope shark,Galeorhinus galeus
Picked dogfish,Squalus acanthias
Norway lobster,Nephrops norvegicus
Albacore,Thunnus alalunga
Sandy ray,Raja circularis
Shagreen ray,Raja fullonica
Small-eyed ray,Raja microocellata
Cuckoo ray,Raja naevus
Shortfin mako,Isurus oxyrinchus
Blue shark,Prionace glauca
Swordfish,Xiphias gladius
Eulachon,Thaleichthys pacificus
Atlantic horse mackerel,Trachurus trachurus
Grey triggerfish,Balistes carolinensis
Porbeagle,Lamna nasus
Summer flounder,Paralichthys dentatus
Silver hake,Merluccius bilinearis
Undulate ray,Raja undulata
Petrale sole,Eopsetta jordani
Red grouper,Epinephelus morio
Snowy grouper,Epinephelus niveatus
Northern red snapper,Lutjanus campechanus
Thornback ray,Raja clavata
Starry ray,Raja radiata
Spotted ray,Raja montagui
Blonde ray,Raja brachyura
Atlantic chub mackerel,Scomber colias
Leafscale gulper shark,Centrophorus squamosus
Skipjack tuna,Katsuwonus pelamis
European pilchard(=Sardine),Sardina pilchardus
European anchovy,Engraulis encrasicolus
Benguela hake,Merluccius polli
Atlantic white marlin,Tetrapturus albidus
Cape horse mackerel,Trachurus capensis
Largehead hairtail,Trichiurus lepturus
Blue jack mackerel,Trachurus picturatus
Mediterranean horse mackerel,Trachurus mediterraneus
Round sardinella,Sardinella aurita
Bigeye tuna,Thunnus obesus
Vermilion snapper,Rhomboplites aurorubens
European hake,Merluccius merluccius
Mutton snapper,Lutjanus analis
Surmullet,Mullus surmuletus
Cunene horse mackerel,Trachurus trecae
King mackerel,Scomberomorus cavalla
Atlantic mackerel,Scomber scombrus
Blacktip shark,Carcharhinus limbatus
Blacknose shark,Carcharhinus acronotus
Common octopus,Octopus vulgaris
Atlantic Spanish mackerel,Scomberomorus maculatus
Red-eye round herring,Etrumeus teres
Great Northern tilefish,Lopholatilus chamaeleonticeps
Atlantic herring,Clupea harengus
Shortspine thornyhead,Sebastolobus alascanus
Atlantic menhaden,Brevoortia tyrannus
Scup,Stenotomus chrysops
Gulf menhaden,Brevoortia patronus
Whiting,Merlangius merlangus
European plaice,Pleuronectes platessa
Norway pout,Trisopterus esmarkii
Argentine anchovy,Engraulis anchoita
European sprat,Sprattus sprattus
North Pacific hake,Merluccius productus
South American pilchard,Sardinops sagax
Large-eye dentex,Dentex macrophthalmus
Bigeye grunt,Brachydeuterus auritus
Roundnose grenadier,Coryphaenoides rupestris
Japanese pilchard,Sardinops melanostictus
Shallow-water Cape hake,Merluccius capensis
False scad,Caranx rhonchus
Yellownose skate,Zearaja chilensis
Red pandora,Pagellus bellottii
Falkland sprat,Sprattus fuegensis
Black cardinal fish,Epigonus telescopus
Common dab,Limanda limanda
Small-spotted catshark,Scyliorhinus canicula
Bonga shad,Ethmalosa fimbriata
Lesser African threadfin,Galeoides decadactylus
Red gurnard,Aspitrigla cuculus
Red mullet,Mullus barbatus
Beaked redfish,Sebastes mentella
American lobster,Homarus americanus
Bobo croaker,Pseudotolithus elongatus
Angler(=Monk),Lophius piscatorius
Japanese anchovy,Engraulis japonicus
Araucanian herring,Strangomera bentincki
Anchoveta(=Peruvian anchovy),Engraulis ringens
Japanese flying squid,Todarodes pacificus
Picarel,Spicara smaris
Boarfish,Capros aper
Black scabbardfish,Aphanopus carbo
Angelshark,Squatina squatina
Basking shark,Cetorhinus maximus
Kitefin shark,Dalatias licha
Southern spiny lobster,Palinurus gilchristi
Cape Hope squid,Loligo reynaudii
Blackmouth catshark,Galeus melastomus
Blue mackerel,Scomber australasicus
Sandbar shark,Carcharhinus plumbeus
Atlantic sharpnose shark,Rhizoprionodon terraenovae
Cape rock lobster,Jasus lalandii
Red rock lobster,Jasus edwardsii
New Zealand lobster,Metanephrops challengeri
Splendid alfonsino,Beryx splendens
Silk snapper,Lutjanus vivanus
Whitespotted conger,Conger myriaster
Dusky shark,Carcharhinus obscurus
Gag,Mycteroperca microlepis
Yellowedge grouper,Epinephelus flavolimbatus
Squeteague(=Gray weakfish),Cynoscion regalis
Atlantic croaker,Micropogonias undulatus
Starry flounder,Platichthys stellatus
Big skate,Raja binoculata
Little skate,Raja erinacea
Bonnethead,Sphyrna tiburo
Dusky smooth-hound,Mustelus canis
Finetooth shark,Carcharhinus isodon
